run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,296794,2025-01-01,2025-04-01,1854848526.000000,1854848526.0,0.0,0.000000,1854848526.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271597,2025-01-01,2025-04-01,1211434164.000000,1211434164.0,0.0,0.000000,1211434164.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271590,2025-01-01,2025-04-01,355718067.000000,355718067.0,0.0,0.000000,355718067.0,1.0,0.0,"[""payment_point"",""damage_product"",""employee_salary"",""OtherCosts"",""delivery_partner_fee"",""payment_voucher""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,320852,2025-01-01,2025-04-01,1647410537.000000,1647410537.0,0.0,0.000000,1647410537.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271592,2025-01-01,2025-04-01,325060320.000000,325060320.0,0.0,0.000000,325060320.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271591,2025-01-01,2025-04-01,790408203.000000,790408203.0,0.0,0.000000,790408203.0,1.0,0.0,"[""employee_salary"",""delivery_partner_fee"",""payment_point"",""OtherCosts"",""payment_voucher"",""damage_product""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,310114,2025-01-01,2025-04-01,1813749908.000000,1813749908.0,0.0,0.000000,1813749908.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271582,2025-01-01,2025-04-01,488859521.000000,488859521.0,0.0,0.000000,488859521.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271601,2025-01-01,2025-04-01,3342892008.000000,541439379.1197752,0.0,0.000000,541439379.1197752,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271586,2025-01-01,2025-04-01,713590328.400000,713590328.4000001,0.0,0.000000,713590328.4000001,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271619,2025-01-01,2025-04-01,241977795.000000,241977795.0,0.0,0.000000,241977795.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296919,2025-01-01,2025-04-01,1978799309.000000,1978799309.0,0.0,0.000000,1978799309.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271585,2025-01-01,2025-04-01,308969578.000000,308969578.0,0.0,0.000000,308969578.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,310132,2025-01-01,2025-04-01,1466772434.000000,1466772434.0,0.0,0.000000,1466772434.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271396,2025-01-01,2025-04-01,296865637.000000,296865637.0,0.0,0.000000,296865637.0,1.0,0.0,"[""employee_salary"",""damage_product"",""payment_voucher"",""payment_point"",""OtherCosts"",""delivery_partner_fee""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,1000271618,2025-01-01,2025-04-01,275994294.000000,275994294.0,0.0,0.000000,275994294.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271190,2025-01-01,2025-04-01,524408537.000000,524408537.0,0.0,0.000000,524408537.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271395,2025-01-01,2025-04-01,981497214.000000,981497214.0,0.0,0.000000,981497214.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271189,2025-01-01,2025-04-01,3032222697.000000,3032222697.0,0.0,0.000000,3032222697.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271671,2025-01-01,2025-04-01,481064051.000000,481064051.0,0.0,0.000000,481064051.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271584,2025-01-01,2025-04-01,839025740.000000,839025740.0,0.0,0.000000,839025740.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,328949,2025-01-01,2025-04-01,588821029.000000,588821029.0,0.0,0.000000,588821029.0,1.0,0.0,"[""delivery_partner_fee"",""damage_product"",""payment_point"",""employee_salary"",""OtherCosts"",""payment_voucher""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,296809,2025-01-01,2025-04-01,4268523000.000000,4268523000.0,0.0,0.000000,4268523000.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,317609,2025-01-01,2025-04-01,1222447734.000000,1222447734.0,0.0,0.000000,1222447734.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271167,2025-01-01,2025-04-01,1279746489.000000,1279746489.0,0.0,0.000000,1279746489.0,1.0,0.0,"[""delivery_partner_fee"",""damage_product"",""OtherCosts"",""payment_point"",""payment_voucher"",""employee_salary""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,285727,54778,2025-01-01,2025-04-01,162739330.000000,27888204.515779804,6000.0,0.000000,27882204.515779804,67.66666666666667,3.6673173506345955e-05,"[""payment_point"",""employee_salary"",""delivery_partner_fee"",""OtherCosts"",""payment_voucher"",""damage_product""]","[6000,0,0,0,0,0]","[100.00,0.00,0.00,0.00,0.00,0.00]",Quý trước
2025-05-05,500603355,294602,2025-01-01,2025-04-01,32230013791.000000,32230013791.0,0.0,0.000000,32230013791.0,1.0,0.0,"[""OtherCosts"",""delivery_partner_fee"",""payment_point"",""payment_voucher"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,1000271583,2025-01-01,2025-04-01,962089698.000000,962089698.0,0.0,0.000000,962089698.0,1.0,0.0,,,,Quý trước
